disease,subtype,severity,question,answer,followup
cold_flu,runny nose,mild,Why am I getting this kind of runny nose cold_flu repeatedly?,"From what you describe, it sounds like a mild case of runny nose cold_flu. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
cold_flu,seasonal cold,mild,Why am I getting this kind of seasonal cold cold_flu repeatedly?,"From what you describe, it sounds like a moderate case of seasonal cold cold_flu. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
cold_flu,mild flu,mild,Can my daily habits or lifestyle be causing this mild flu cold_flu?,"From what you describe, it sounds like a mild case of mild flu cold_flu. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
cold_flu,runny nose,mild,What can I do at home to manage this runny nose cold_flu safely?,"From what you describe, it sounds like a mild case of runny nose cold_flu. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
cold_flu,seasonal cold,mild,Can my daily habits or lifestyle be causing this seasonal cold cold_flu?,"From what you describe, it sounds like a severe case of seasonal cold cold_flu. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
cold_flu,sore throat,mild,What can I do at home to manage this sore throat cold_flu safely?,"From what you describe, it sounds like a mild case of sore throat cold_flu. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
cold_flu,seasonal cold,mild,Can my daily habits or lifestyle be causing this seasonal cold cold_flu?,"From what you describe, it sounds like a mild case of seasonal cold cold_flu. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
cold_flu,common cold,mild,"I'm not sure if this is normal or serious, my cold_flu feels like common cold and I feel unsure.","From what you describe, it sounds like a mild case of common cold cold_flu. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
cold_flu,common cold,mild,Why am I getting this kind of common cold cold_flu repeatedly?,"From what you describe, it sounds like a mild case of common cold cold_flu. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
cold_flu,common cold,mild,Why am I getting this kind of common cold cold_flu repeatedly?,"From what you describe, it sounds like a severe case of common cold cold_flu. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
cold_flu,sore throat,mild,What can I do at home to manage this sore throat cold_flu safely?,"From what you describe, it sounds like a severe case of sore throat cold_flu. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
cold_flu,common cold,mild,What can I do at home to manage this common cold cold_flu safely?,"From what you describe, it sounds like a severe case of common cold cold_flu. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
cold_flu,sore throat,mild,Can my daily habits or lifestyle be causing this sore throat cold_flu?,"From what you describe, it sounds like a mild case of sore throat cold_flu. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
cold_flu,sore throat,mild,Can my daily habits or lifestyle be causing this sore throat cold_flu?,"From what you describe, it sounds like a moderate case of sore throat cold_flu. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
cold_flu,mild flu,mild,"I'm not sure if this is normal or serious, my cold_flu feels like mild flu and I feel unsure.","From what you describe, it sounds like a mild case of mild flu cold_flu. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
cold_flu,mild flu,mild,What can I do at home to manage this mild flu cold_flu safely?,"From what you describe, it sounds like a mild case of mild flu cold_flu. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
cold_flu,mild flu,mild,Why am I getting this kind of mild flu cold_flu repeatedly?,"From what you describe, it sounds like a mild case of mild flu cold_flu. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
cold_flu,common cold,mild,I am having common cold related cold_flu symptoms and it is worrying me.,"From what you describe, it sounds like a moderate case of common cold cold_flu. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
cold_flu,mild flu,mild,Why am I getting this kind of mild flu cold_flu repeatedly?,"From what you describe, it sounds like a severe case of mild flu cold_flu. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
cold_flu,seasonal cold,mild,Why am I getting this kind of seasonal cold cold_flu repeatedly?,"From what you describe, it sounds like a severe case of seasonal cold cold_flu. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
cold_flu,runny nose,mild,"I'm not sure if this is normal or serious, my cold_flu feels like runny nose and I feel unsure.","From what you describe, it sounds like a mild case of runny nose cold_flu. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
cold_flu,runny nose,mild,What can I do at home to manage this runny nose cold_flu safely?,"From what you describe, it sounds like a moderate case of runny nose cold_flu. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
cold_flu,mild flu,mild,"I'm not sure if this is normal or serious, my cold_flu feels like mild flu and I feel unsure.","From what you describe, it sounds like a moderate case of mild flu cold_flu. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
cold_flu,seasonal cold,mild,I am having seasonal cold related cold_flu symptoms and it is worrying me.,"From what you describe, it sounds like a severe case of seasonal cold cold_flu. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
cold_flu,runny nose,mild,Can my daily habits or lifestyle be causing this runny nose cold_flu?,"From what you describe, it sounds like a severe case of runny nose cold_flu. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
cold_flu,runny nose,mild,"I'm not sure if this is normal or serious, my cold_flu feels like runny nose and I feel unsure.","From what you describe, it sounds like a moderate case of runny nose cold_flu. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
cold_flu,runny nose,mild,I am having runny nose related cold_flu symptoms and it is worrying me.,"From what you describe, it sounds like a moderate case of runny nose cold_flu. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
cold_flu,mild flu,mild,Why am I getting this kind of mild flu cold_flu repeatedly?,"From what you describe, it sounds like a moderate case of mild flu cold_flu. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
cold_flu,seasonal cold,mild,Why am I getting this kind of seasonal cold cold_flu repeatedly?,"From what you describe, it sounds like a mild case of seasonal cold cold_flu. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
cold_flu,common cold,mild,What can I do at home to manage this common cold cold_flu safely?,"From what you describe, it sounds like a mild case of common cold cold_flu. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
cold_flu,runny nose,mild,I am having runny nose related cold_flu symptoms and it is worrying me.,"From what you describe, it sounds like a mild case of runny nose cold_flu. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
cold_flu,common cold,mild,Can my daily habits or lifestyle be causing this common cold cold_flu?,"From what you describe, it sounds like a moderate case of common cold cold_flu. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
cold_flu,sore throat,mild,Why am I getting this kind of sore throat cold_flu repeatedly?,"From what you describe, it sounds like a moderate case of sore throat cold_flu. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
cold_flu,seasonal cold,mild,"I'm not sure if this is normal or serious, my cold_flu feels like seasonal cold and I feel unsure.","From what you describe, it sounds like a mild case of seasonal cold cold_flu. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
cold_flu,seasonal cold,mild,"I'm not sure if this is normal or serious, my cold_flu feels like seasonal cold and I feel unsure.","From what you describe, it sounds like a severe case of seasonal cold cold_flu. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
cold_flu,common cold,mild,I am having common cold related cold_flu symptoms and it is worrying me.,"From what you describe, it sounds like a severe case of common cold cold_flu. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
cold_flu,common cold,mild,"I'm not sure if this is normal or serious, my cold_flu feels like common cold and I feel unsure.","From what you describe, it sounds like a moderate case of common cold cold_flu. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
cold_flu,seasonal cold,mild,What can I do at home to manage this seasonal cold cold_flu safely?,"From what you describe, it sounds like a mild case of seasonal cold cold_flu. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
cold_flu,runny nose,mild,Why am I getting this kind of runny nose cold_flu repeatedly?,"From what you describe, it sounds like a severe case of runny nose cold_flu. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
cold_flu,sore throat,mild,Can my daily habits or lifestyle be causing this sore throat cold_flu?,"From what you describe, it sounds like a severe case of sore throat cold_flu. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
cold_flu,sore throat,mild,What can I do at home to manage this sore throat cold_flu safely?,"From what you describe, it sounds like a moderate case of sore throat cold_flu. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
cold_flu,common cold,mild,"I'm not sure if this is normal or serious, my cold_flu feels like common cold and I feel unsure.","From what you describe, it sounds like a severe case of common cold cold_flu. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
cold_flu,mild flu,mild,What can I do at home to manage this mild flu cold_flu safely?,"From what you describe, it sounds like a severe case of mild flu cold_flu. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
cold_flu,common cold,mild,What can I do at home to manage this common cold cold_flu safely?,"From what you describe, it sounds like a moderate case of common cold cold_flu. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
cold_flu,sore throat,mild,I am having sore throat related cold_flu symptoms and it is worrying me.,"From what you describe, it sounds like a mild case of sore throat cold_flu. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
cold_flu,mild flu,mild,Can my daily habits or lifestyle be causing this mild flu cold_flu?,"From what you describe, it sounds like a severe case of mild flu cold_flu. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
cold_flu,runny nose,mild,Can my daily habits or lifestyle be causing this runny nose cold_flu?,"From what you describe, it sounds like a moderate case of runny nose cold_flu. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
cold_flu,seasonal cold,mild,"I'm not sure if this is normal or serious, my cold_flu feels like seasonal cold and I feel unsure.","From what you describe, it sounds like a moderate case of seasonal cold cold_flu. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
cold_flu,sore throat,mild,"I'm not sure if this is normal or serious, my cold_flu feels like sore throat and I feel unsure.","From what you describe, it sounds like a mild case of sore throat cold_flu. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
cold_flu,seasonal cold,mild,What can I do at home to manage this seasonal cold cold_flu safely?,"From what you describe, it sounds like a severe case of seasonal cold cold_flu. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
cold_flu,mild flu,mild,I am having mild flu related cold_flu symptoms and it is worrying me.,"From what you describe, it sounds like a moderate case of mild flu cold_flu. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
cold_flu,sore throat,mild,Why am I getting this kind of sore throat cold_flu repeatedly?,"From what you describe, it sounds like a mild case of sore throat cold_flu. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
cold_flu,common cold,mild,Can my daily habits or lifestyle be causing this common cold cold_flu?,"From what you describe, it sounds like a mild case of common cold cold_flu. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
cold_flu,sore throat,mild,I am having sore throat related cold_flu symptoms and it is worrying me.,"From what you describe, it sounds like a moderate case of sore throat cold_flu. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
cold_flu,common cold,mild,Why am I getting this kind of common cold cold_flu repeatedly?,"From what you describe, it sounds like a moderate case of common cold cold_flu. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
cold_flu,runny nose,mild,What can I do at home to manage this runny nose cold_flu safely?,"From what you describe, it sounds like a severe case of runny nose cold_flu. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
cold_flu,runny nose,mild,I am having runny nose related cold_flu symptoms and it is worrying me.,"From what you describe, it sounds like a severe case of runny nose cold_flu. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
cold_flu,sore throat,mild,I am having sore throat related cold_flu symptoms and it is worrying me.,"From what you describe, it sounds like a severe case of sore throat cold_flu. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
fever,low-grade fever,mild,Why am I getting this kind of low-grade fever fever repeatedly?,"From what you describe, it sounds like a severe case of low-grade fever fever. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
fever,mild continuous fever,mild,What can I do at home to manage this mild continuous fever fever safely?,"From what you describe, it sounds like a mild case of mild continuous fever fever. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
fever,intermittent fever,mild,"I'm not sure if this is normal or serious, my fever feels like intermittent fever and I feel unsure.","From what you describe, it sounds like a severe case of intermittent fever fever. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
fever,viral fever,mild,Why am I getting this kind of viral fever fever repeatedly?,"From what you describe, it sounds like a mild case of viral fever fever. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
fever,mild continuous fever,mild,I am having mild continuous fever related fever symptoms and it is worrying me.,"From what you describe, it sounds like a moderate case of mild continuous fever fever. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
fever,intermittent fever,mild,Why am I getting this kind of intermittent fever fever repeatedly?,"From what you describe, it sounds like a severe case of intermittent fever fever. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
fever,mild continuous fever,mild,I am having mild continuous fever related fever symptoms and it is worrying me.,"From what you describe, it sounds like a mild case of mild continuous fever fever. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
fever,low-grade fever,mild,Can my daily habits or lifestyle be causing this low-grade fever fever?,"From what you describe, it sounds like a severe case of low-grade fever fever. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
fever,viral fever,mild,What can I do at home to manage this viral fever fever safely?,"From what you describe, it sounds like a severe case of viral fever fever. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
fever,mild continuous fever,mild,"I'm not sure if this is normal or serious, my fever feels like mild continuous fever and I feel unsure.","From what you describe, it sounds like a mild case of mild continuous fever fever. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
fever,low-grade fever,mild,Can my daily habits or lifestyle be causing this low-grade fever fever?,"From what you describe, it sounds like a moderate case of low-grade fever fever. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
fever,viral fever,mild,Can my daily habits or lifestyle be causing this viral fever fever?,"From what you describe, it sounds like a mild case of viral fever fever. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
fever,intermittent fever,mild,Can my daily habits or lifestyle be causing this intermittent fever fever?,"From what you describe, it sounds like a moderate case of intermittent fever fever. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
fever,evening fever,mild,I am having evening fever related fever symptoms and it is worrying me.,"From what you describe, it sounds like a mild case of evening fever fever. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
fever,mild continuous fever,mild,Can my daily habits or lifestyle be causing this mild continuous fever fever?,"From what you describe, it sounds like a mild case of mild continuous fever fever. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
fever,intermittent fever,mild,Why am I getting this kind of intermittent fever fever repeatedly?,"From what you describe, it sounds like a mild case of intermittent fever fever. This type of problem is often linked with routine factors such as stress, sleep quality, hydration, or food patterns. For now, focus on simple steps like resting, staying hydrated, avoiding major triggers, and observing how your body responds. If the discomfort gets worse, lasts many days, or feels unusual for you, it is safer to talk to a healthcare professional.",
